title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
American Heritage Rivers Advisory Committee,Notice,Defense Department; Army Department,"In accordance with Section 10(a)(2) of the Federal Advisory Committee Act (Public Law 92-463), this notice sets forth the schedule and proposed agenda for the second meeting of the American Heritage Rivers Initiative Advisory Committee (``Committee''), a Presidential Commission. At the first meeting of the Committee, held in Washington, D.C., on May 11 and 12, 1998, the Committee was very impressed by the hard work and dedication communities demonstrated in their nominations. Rather than remove any nominations from consideration at the May 11 and 12 meeting, the Committee decided to take additional time to reflect and individually to review the proposals in greater detail. A second meeting will be held on June 16, during which up to 20 rivers will be recommended to the Chairman, who will then prepare a report making final recommendations for the President. This meeting will be open to the public in its entirety. Because the seating capacity of the meeting room may be limited, an advance notice of intent to attend, although not required, is requested. This will help in making adequate seating arrangements for those wishing to attend. Members of the public will not be permitted to make oral statements at the meeting due to equity considerations and time constraints. Written comments may be submitted for the record to Mr. Charles R. Smith, Executive Secretary, at the address listed below. Comments must be received by 5:00 p.m., EST, on June 15. Name of Committee: American Heritage Rivers Initiative Advisory Committee. Date of Meeting: Tuesday, June 16, 1998, from 9:00 a.m. to 1:00 p.m., or until business is concluded. Place: The meeting will be at the Hyatt Hotel @ Union Station (Grand Ballroom), 1820 Market Street, St. Louis, Missouri 63103.", 98-14574,https://www.federalregister.gov/documents/1998/06/01/98-14574/american-heritage-rivers-advisory-committee,https://www.gpo.gov/fdsys/pkg/FR-1998-06-01/pdf/98-14574.pdf,06/01/1998
"Research and Evaluation, National Technical AssistanceRequest for Grant Proposals",Notice,Commerce Department; Economic Development Administration,"A total of $340,000,000 is available to EDA for all of its programs for FY 1998 (See Notice of Funding availability for FY 1998 at 63 FR 10116), of which approximately $1,600,000 is or will be available for National Technical Assistance and for Research and Evaluation. EDA is soliciting proposals for the specific projects described herein: (1) Development and dissemination of cutting-edge and innovative techniques in economic development; (2) evaluation of technology transfer and commercialization efforts; (3) evaluation of the impact of EDA revolving loan fund investments; (4) development of information on effective Indian economic development projects and practices. These projects will be funded if acceptable proposals are received. Remaining funding, if any, may be used to fund additional projects. The average funding level for a Research and Evaluation grant is $171,000 and for a National Technical Assistance grant is $176,000. Additional funding may or may not be available. EDA issues this Notice describing the conditions under which eligible applications for these National Technical Assistance under 13 CFR Part 307, Subpart C, and Research and Evaluation under 13 CFR Part 307, Subpart D, projects will be accepted and selected for funding.", 98-10507,https://www.federalregister.gov/documents/1998/04/21/98-10507/research-and-evaluation-national-technical-assistancerequest-for-grant-proposals,https://www.gpo.gov/fdsys/pkg/FR-1998-04-21/pdf/98-10507.pdf,04/21/1998
American Heritage Rivers Advisory Committee,Notice,Defense Department; Army Department,"In accordance with Section 10(a)(2) of the Federal Advisory Committee Act (Public Law 92-463), this notice sets forth the schedule and proposed agenda of the forthcoming meeting of the American Heritage Rivers Advisory Committee (``Committee''), a Presidential Commission. The meeting will be open to the public except for the last portion of the meeting where the Committee will select up to 20 river communities from which the President will chose river communities for designation as American Heritage Rivers. The partial closure is necessary in order to permit the selection of the 20 finalist applicant rivers for submission to the President and to prevent premature disclosure of their identity. Because the seating capacity of the meeting room might be limited, an advance notice of intent to attend, although not required, is requested. This will help make adequate arrangements for those wishing to attend. Members of the public will not be permitted to make oral statements at the meeting due to equity considerations and time constraints. Written comments may be submitted for the record to Mr. Charles R. Smith, Executive Secretary, at the address listed below. Comments must be received by 5:00 p.m. on May 8.", 98-10792,https://www.federalregister.gov/documents/1998/04/22/98-10792/american-heritage-rivers-advisory-committee,https://www.gpo.gov/fdsys/pkg/FR-1998-04-22/pdf/98-10792.pdf,04/22/1998
Economic Development Assistance ProgramsAvailability of Funds,Notice,Commerce Department; Economic Development Administration,"The Economic Development Administration (EDA) announces its policies and application procedures during fiscal year 1998 to support projects designed to alleviate conditions of substantial and persistent unemployment and underemployment in economically-distressed areas and regions of the Nation, to address economic dislocations resulting from sudden and severe job losses, and to administer the Agency's programs.", 98-5111,https://www.federalregister.gov/documents/1998/02/27/98-5111/economic-development-assistance-programsavailability-of-funds,https://www.gpo.gov/fdsys/pkg/FR-1998-02-27/pdf/98-5111.pdf,02/27/1998
"Research and Evaluation, National Technical AssistanceRequest for Proposals",Notice,Commerce Department; Economic Development Administration,"A total of $328,500,000 is available to EDA for all of its programs for FY 1997 (See Notice of Funding availability for FY 1997 at 61 FR 67434), of which approximately $1,780,000 is or will be available for National Technical Assistance and for Research and Evaluation for specific projects which will aid in better understanding the causes of and solutions to economic distress/underemployment and unemployment throughout the Nation in the specific priority areas described herein. Additional funding may or may not be available. EDA issues this Notice describing the conditions under which eligible applications for these National Technical Assistance under 13 CFR Part 307, Subpart C, and Research and Evaluation under 13 CFR Part 307, Subpart D, projects will be accepted and selected for funding. EDA is soliciting proposals for the specific projects described herein which will be funded if acceptable proposals are received. Remaining funding, if any, may be used to fund additional projects.", 97-12492,https://www.federalregister.gov/documents/1997/05/12/97-12492/research-and-evaluation-national-technical-assistancerequest-for-proposals,https://www.gpo.gov/fdsys/pkg/FR-1997-05-12/pdf/97-12492.pdf,05/12/1997
New England Fishery Management Council; Meeting,Proposed Rule,Commerce Department; National Oceanic and Atmospheric Administration,The New England Fishery Management Council (Council) will hold a 2-day public meeting to consider actions affecting New England fisheries in the exclusive economic zone., 97-9160,https://www.federalregister.gov/documents/1997/04/10/97-9160/new-england-fishery-management-council-meeting,https://www.gpo.gov/fdsys/pkg/FR-1997-04-10/pdf/97-9160.pdf,04/10/1997
Economic Development Assistance ProgramsAvailability of Funds,Notice,Commerce Department; Economic Development Administration,"The Economic Development Administration (EDA) announces its policies and application procedures during fiscal year 1997 to support projects designed to alleviate conditions of substantial and persistent unemployment and underemployment in economically-distressed areas and regions of the Nation, to address economic dislocations resulting from sudden and severe job losses, and to administer the Agency's programs.", 96-32266,https://www.federalregister.gov/documents/1996/12/20/96-32266/economic-development-assistance-programsavailability-of-funds,https://www.gpo.gov/fdsys/pkg/FR-1996-12-20/pdf/96-32266.pdf,12/20/1996
Economic Development Assistance ProgramsAvailability of Funds,Notice,Commerce Department; Economic Development Administration,"The Economic Development Administration (EDA) announces its policies and application procedures during fiscal year 1996 to support projects designed to alleviate conditions of substantial and persistent unemployment and underemployment in economically-distressed areas and regions of the Nation, to address economic dislocations resulting from sudden and severe job losses, and to administer the Agency's programs.", 96-14699,https://www.federalregister.gov/documents/1996/06/11/96-14699/economic-development-assistance-programsavailability-of-funds,https://www.gpo.gov/fdsys/pkg/FR-1996-06-11/pdf/96-14699.pdf,06/11/1996
Gulf of Mexico Fisheries Disaster Program,Notice,Commerce Department; National Oceanic and Atmospheric Administration,"NMFS establishes a Gulf of Mexico Fisheries Disaster Program (Program) that will provide $5 million in financial assistance to commercial fishermen who suffered uninsured fishing vessel or gear damage or loss caused by hurricanes, floods, or their aftereffects. Assistance will be in the form of a discretionary grant only; this notice does not create an entitlement program.", 96-14591,https://www.federalregister.gov/documents/1996/06/10/96-14591/gulf-of-mexico-fisheries-disaster-program,https://www.gpo.gov/fdsys/pkg/FR-1996-06-10/pdf/96-14591.pdf,06/10/1996
New England Fishery Management Council; Meeting,Proposed Rule,Commerce Department,The New England Fishery Management Council (Council) will hold a 2-day public meeting to consider actions affecting New England fisheries in the exclusive economic zone., 96-13746,https://www.federalregister.gov/documents/1996/06/03/96-13746/new-england-fishery-management-council-meeting,https://www.gpo.gov/fdsys/pkg/FR-1996-06-03/pdf/96-13746.pdf,06/03/1996
Obligation GuaranteesProgram Administration,Rule,Transportation Department; Maritime Administration,"The Maritime Administration (``MARAD'') is issuing this final rule which amends certain provisions of the existing regulations implementing Title XI of the Merchant Marine Act, 1936, as amended (``Act''). This rule is intended to improve administration of the Title XI program. MARAD administers financial assistance under Title XI of the Act in the form of obligation guarantees for all types of vessel construction and shipyard modernization and improvement, except for fishing vessels. The part of the Title XI program related to fishing vessels is administered by the National Oceanic and Atmospheric Administration of the U.S. Department of Commerce, (``NOAA''), pursuant to NOAA regulations, which appear at 50 CFR part 253.", 96-11289,https://www.federalregister.gov/documents/1996/05/09/96-11289/obligation-guaranteesprogram-administration,https://www.gpo.gov/fdsys/pkg/FR-1996-05-09/pdf/96-11289.pdf,05/09/1996
"NASA Advisory Council, Earth Systems Science and Applications Advisory Committee (ESSAAC), Earth Observing System Data and Information System Advisory Subcommittee (ESDAC); Meeting",Notice,National Aeronautics and Space Administration,"In accordance with the Federal Advisory Committee Act, Public Law 92-463, as amended, the National Aeronautics and Space Administration announces a meeting of the NASA Advisory Council, Earth System Science and Applications Advisory Committee.", 95-28372,https://www.federalregister.gov/documents/1995/11/17/95-28372/nasa-advisory-council-earth-systems-science-and-applications-advisory-committee-essaac-earth,https://www.gpo.gov/fdsys/pkg/FR-1995-11-17/pdf/95-28372.pdf,11/17/1995
"NASA Advisory Council, Earth Systems Science and Applications Advisory Committee (ESSAAC); Meeting",Notice,National Aeronautics and Space Administration,"In accordance with the Federal Advisory Committee Act, Public Law 92-463, as amended, the National Aeronautics and Space Administration announces a meeting of the NASA Advisory Council, Earth Systems Science and Applications Advisory Committee.", 95-21655,https://www.federalregister.gov/documents/1995/08/31/95-21655/nasa-advisory-council-earth-systems-science-and-applications-advisory-committee-essaac-meeting,https://www.gpo.gov/fdsys/pkg/FR-1995-08-31/pdf/95-21655.pdf,08/31/1995
Request for Applications Under the Office of Community Services' FY 1995 Demonstration Partnership Program (DPP),Notice,Health and Human Services Department; Children and Families Administration,"The Office of Community Services (OCS) announces that, based on availability of funds, applications will be accepted for grants pursuant to the Secretary's authority under section 408(a) (Pub. L. 99- 425), of the Human Services Reauthorization Act of 1986 as amended.", 95-8833,https://www.federalregister.gov/documents/1995/04/12/95-8833/request-for-applications-under-the-office-of-community-services-fy-1995-demonstration-partnership,https://www.gpo.gov/fdsys/pkg/FR-1995-04-12/pdf/95-8833.pdf,04/12/1995
Economic Development Assistance ProgramsAvailability of Funds,Notice,Commerce Department; Economic Development Administration,"The Economic Development Administration (EDA) announces its policies and application procedures for funds available in fiscal year 1995, as described in Public Law 103-317, Departments of Commerce, Justice, State, the Judiciary, and Related Agencies Appropriations, to support projects designed to alleviate conditions of substantial and persistent unemployment and underemployment in economically-distressed areas and regions of the Nation and to address economic dislocations resulting from sudden, severe job losses. The purpose of this announcement is to communicate to potential applicants for EDA funds the policies and procedures that will be used to administer the Agency's programs during fiscal year 1995.", 95-6261,https://www.federalregister.gov/documents/1995/03/14/95-6261/economic-development-assistance-programsavailability-of-funds,https://www.gpo.gov/fdsys/pkg/FR-1995-03-14/pdf/95-6261.pdf,03/14/1995
West Coast Salmon Fisheries; Northwest Emergency Assistance Plan,Uncategorized Document,Commerce Department; National Oceanic and Atmospheric Administration,"NMFS establishes a program, the Northwest Emergency Assistance Plan (NEAP), that will provide $12 million of assistance to salmon fishermen in the Pacific Northwest who have been affected by a fishery resource disaster during 1992 through 1994, while providing conservation benefits to salmon resources. These disaster relief funds, which were made available under the Interjurisdictional Fisheries Act (IFA), will be applied toward the following three programs, administered by the following intermediaries: A vessel permit buyout program--Washington Department of Fish and Wildlife; and a habitat restoration jobs program--Soil Conservation Services (SCS) of the U.S. Department of Agriculture (USDA); and a data collection jobs program-- Pacific States Marine Fisheries Commission (PSMFC). The intent is to provide assistance to those commercial fishermen who have recently participated in the salmon fisheries, who were substantially reliant on West Coast salmon resources for their income, and who suffered an uninsured loss as a result of a significant reduction in income because of the resource disaster. The intent is also to provide this assistance in a manner likely to contribute to conservation/restoration efforts for salmon.", 94-24997,https://www.federalregister.gov/documents/1994/10/11/94-24997/west-coast-salmon-fisheries-northwest-emergency-assistance-plan,"",10/11/1994
West Coast Salmon Fisheries; Northwest Emergency Assistance Plan,Uncategorized Document,Commerce Department; National Oceanic and Atmospheric Administration,"NMFS proposes a program, the Northwest Emergency Assistance Plan (NEAP), that would provide $12 million of assistance to salmon fishermen in the Pacific Northwest who have been affected by a fishery resource disaster during 1992 through 1994, while providing conservation benefits to salmon resources. NMFS proposes that these disaster relief funds, which were made available under the Interjurisdictional Fisheries Act (IFA), be applied toward the following three programs, administered by the following intermediaries: A vessel permit buyout program--Washington Department of Fish and Wildlife; and a habitat restoration program--Soil Conservation Service (SCS) of the U.S. Department of Agriculture (USDA), and a data collection program--Pacific States Marine Fisheries Commission (PSMFC), both of which would provide jobs to commercial salmon fishermen. The intent is to provide assistance to those fishermen who have recently participated in the salmon fisheries, who were substantially reliant on West Coast salmon resources for their income, and who suffered an uninsured loss as a result of a significant reduction in income because of the resource disaster.", 94-22078,https://www.federalregister.gov/documents/1994/09/07/94-22078/west-coast-salmon-fisheries-northwest-emergency-assistance-plan,"",09/07/1994
Request for Applications Under the Office of Community Services' FY 1994 Demonstration Partnership Program; Notice DEPARTMENT OF HEALTH AND HUMAN SERVICES,Uncategorized Document,Part V; Health and Human Services Department; Office of Community Services,"The Office of Community Services (OCS) announces that, based on availability of funds, applications will be accepted for grants pursuant to the Secretary's authority under Section 408(a) as amended (Pub. L. 99-425), of the Human Services Reauthorization Act of 1986. This program announcement follows the previous announcement published May 5, 1994 (59 FR 86 pp. 23209 et seq.) of a special set-aside of up to two million dollars ($2,000,000) of Fiscal Year 1994 DPP funds for Technical Assistance/Planning in connection with strategic planning for Empowerment Zones/Enterprise Communities (of which approximately $1.2 million has been disbursed) and deals with the remaining FY 1994 DPP funds of up to approximately six million dollars ($6,000,000). This program announcement consists of eight parts. Part I covers information on the legislative authority, describes the Departmental goals, defines terms used in the program announcement and describes the purposes of the program. Part II describes the types of projects that will be considered for funding. Part III provides details on application requirements including project elements, definition of eligible applicants, availability of funds, prohibition on the use of funds, project periods and budget periods, the amount of matching funds applicants are required to commit, limitations on administrative costs, and program beneficiaries, partnership agreement, sub-contracting, third-party evaluation and maintenance of effort. Part IV provides application review criteria for the four identified program priority categories. Part V provides information on application procedures including the availability of forms, where to submit an application, and criteria for initial screening of applications. Part VI provides instructions for completing an application. Part VII details the contents of the application and receipt process and Part VIII details post-award requirements.", 94-15342,https://www.federalregister.gov/documents/1994/06/23/94-15342/request-for-applications-under-the-office-of-community-services-fy-1994-demonstration-partnership,"",06/23/1994
Economic Development Assistance ProgramsAvailability of Funds; Notice DEPARTMENT OF COMMERCE,Uncategorized Document,Part VI; Commerce Department; Economic Development Administration,"The Economic Development Administration (EDA) announces its policies and application procedures for funds available in fiscal year 1994, as described in Public Law 103-121, Departments of Commerce, Justice, State, the Judiciary, and Related Agencies Appropriations, to support projects designed to alleviate conditions of substantial and persistent unemployment and underemployment in economically-distressed areas and regions of the Nation and to address economic dislocations resulting from sudden, severe job losses. The purpose of this announcement is to communicate to potential applicants for EDA funds the policies and procedures that will be used to administer the Agency's programs during fiscal year 1994. Application procedures and funding levels for the University Center Technical Assistance program will be announced at a later date.", 94-7566,https://www.federalregister.gov/documents/1994/03/30/94-7566/economic-development-assistance-programsavailability-of-funds-notice-department-of-commerce,"",03/30/1994
Obligation Guarantees,Uncategorized Document,Transportation Department; Maritime Administration,"The Maritime Administration (``MARAD'') is issuing this interim final rule which amends its regulations implementing Title XI of the Merchant Marine Act, 1936, as amended (``Act''), in order to carry out the provisions of Subtitle D of Title XIII, Public Law 103- 160, enacted on November 30, 1993. Subtitle D of Title XIII authorizes the Secretary of Transportation (``Secretary'') to guarantee obligations issued to finance the construction, reconstruction, or reconditioning of eligible export vessels and for shipyard modernization and improvement. While Title XI of the Act is applicable to financing assistance for all types of vessel construction, that part of the Title XI program related to fishing vessels is administered by the National Oceanic and Atmospheric Administration of the Department of Commerce, (NOAA), pursuant to NOAA regulations, which appear at 50 CFR part 253. Subtitle D of Title XIII directs the Secretary to prescribe interim 2 regulations within 90 days after the date of enactment and a final rule within 270 days after enactment.", 94-7833,https://www.federalregister.gov/documents/1994/03/31/94-7833/obligation-guarantees,"",03/31/1994
